artist_count,released_year,released_month,released_day,streams,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
1,2023,7,7,36912123,121,65,49,78,0,0,17,4
1,1985,2,17,1205951614,112,64,54,81,36,0,11,6
1,2014,12,9,1791000570,100,70,47,52,30,0,6,33
1,2023,2,25,201660859,150,55,30,78,24,0,12,8
2,2023,2,8,248088961,120,84,96,71,18,0,34,17
3,2023,5,12,90839753,127,82,89,85,4,0,23,6
1,2020,7,24,607123776,90,51,42,61,53,0,9,3
2,2023,6,22,55842345,128,75,79,63,33,0,15,4
2,2023,3,10,211050784,143,64,31,87,4,4,8,4
1,2022,7,15,342897938,139,74,68,68,3,0,26,4
2,2022,12,9,2762,162,49,78,64,19,0,11,4
1,2021,6,11,330346424,92,81,39,60,31,0,7,3
1,2022,8,19,601863821,95,87,57,55,10,0,29,7
3,2011,8,16,1953533826,146,63,88,93,3,0,10,8
2,2017,8,11,2355719893,115,35,12,30,93,0,10,3
2,2023,6,21,66902503,128,78,59,65,10,0,26,5
1,2023,5,15,96273746,130,82,69,83,3,0,27,5
1,2023,1,2,430977451,127,80,74,77,36,0,11,4
1,2011,1,1,284819874,150,42,20,86,21,0,9,9
2,2023,1,11,721975598,122,78,50,63,27,0,9,5
1,2007,4,20,1217120710,140,52,20,85,0,0,7,5
4,2023,6,2,109276132,140,63,22,54,46,0,12,8
3,2022,12,2,276259178,119,75,48,53,18,0,18,34
5,2023,5,22,54225632,110,76,96,72,32,0,9,4
1,2017,1,1,2559529074,95,60,17,45,16,0,11,2
1,2022,7,20,681583126,132,56,20,55,45,1,32,3
1,2017,1,31,2594040133,125,77,74,78,4,0,23,11
4,2023,5,19,81102253,124,84,65,50,67,0,13,6
2,2023,6,1,11956641,133,93,68,65,42,0,12,25
1,2002,1,1,1687664027,112,92,67,66,0,0,36,9
3,2023,7,13,11599388,97,79,92,89,5,0,6,5
2,2016,11,24,611700552,90,59,52,48,38,5,10,11
2,2022,5,6,1133865788,80,65,27,69,8,0,53,4
1,2004,1,1,1089402494,172,45,33,59,6,0,8,3
1,2019,5,10,411747614,120,60,24,35,73,0,31,3
1,2023,1,27,255932395,140,74,96,80,18,0,5,5
1,2023,6,30,31873544,128,81,90,77,1,0,9,5
1,2023,5,26,95053634,122,78,70,81,57,0,10,5
